step,episode,reward
5,0,7.596689337355638
17,1,-26.47310529281387
32,2,-3.603963279313778
36,3,-26.658524877303137
39,4,-4.208295976432169
44,5,6.723586183947953
58,6,-59.56995373216236
69,7,14.851645295961688
77,8,-4.328540097242078
88,9,-13.00952817010915
93,10,-11.230295354531506
101,11,7.0589157278802155
106,12,-35.0467480186075
114,13,-16.172690159420636
119,14,-1.939188682198813
126,15,14.159932228589108
133,16,-12.907382062212537
142,17,-44.17750673294916
149,18,2.3795746268948976
156,19,13.763859625626557
162,20,-17.14124460175431
167,21,-15.816803674871291
173,22,-24.65000083122672
179,23,-45.09837868709563
184,24,-9.529758363258768
191,25,-89.32039528026024
196,26,-4.083095569885579
203,27,10.749753265752965
211,28,-39.64396042767814
216,29,11.604855899685962
223,30,2.647650718418893
228,31,-12.049013795324747
239,32,-3.8384378463884308
243,33,3.3636804413309953
249,34,-26.36242908549075
258,35,6.539814498425111
264,36,8.83775657333496
272,37,-28.241535879749758
281,38,3.1982898827280763
285,39,-7.454337826136783
296,40,-11.40822338119707
306,41,-22.49919986338526
316,42,-47.0599773388862
323,43,11.788046496316023
329,44,6.968092478550313
333,45,-20.17275512184137
353,46,-35.518820451818264
360,47,19.38253622202695
372,48,-47.27962830663877
376,49,10.10439577427091
382,50,1.1395528378167836
389,51,-19.11790999954895
393,52,-15.77772969141291
399,53,10.72708744087748
414,54,-4.464724829775843
426,55,-14.656745988227165
432,56,10.431579858238965
440,57,-22.11445871148976
452,58,-24.439892922482752
459,59,-12.838575886434196
463,60,6.384396395471217
468,61,12.609486273826068
475,62,-0.7241159213619266
483,63,-111.20061203482604
491,64,0.8809900474702748
499,65,12.48961593407473
504,66,-6.965766356890728
510,67,-7.353953921014177
517,68,-15.48840633821732
524,69,8.629286444341592
530,70,4.424530734109061
535,71,11.969026709737712
548,72,-85.82296182729712
554,73,7.705807852974886
563,74,-23.521364719308483
570,75,-53.46226788095387
577,76,-20.3326922287282
590,77,-65.47881086679384
597,78,-20.629346859477202
602,79,-10.328785720119471
615,80,-35.87152280877958
622,81,-23.52620199804499
630,82,-23.744648382967263
636,83,-18.63133628612994
641,84,12.732584892643219
646,85,3.877857365323944
651,86,6.162426747242139
668,87,-116.94132022802845
680,88,-49.637535874413494
