Episode 3211, Reward: -30.33, Step: 20631
Episode 3212, Reward: -32.82, Step: 20638
Episode 3213, Reward: -35.31, Step: 20644
Episode 3214, Reward: -41.57, Step: 20654
Episode 3215, Reward: -31.51, Step: 20664
Episode 3216, Reward: -37.37, Step: 20673
Episode 3217, Reward: -34.01, Step: 20679
Episode 3218, Reward: -31.86, Step: 20686
Episode 3219, Reward: -37.74, Step: 20691
Episode 3220, Reward: -35.17, Step: 20697
Episode 3221, Reward: -55.73, Step: 20706
Episode 3222, Reward: -32.29, Step: 20711
Episode 3223, Reward: -30.92, Step: 20719
Episode 3224, Reward: -30.37, Step: 20725
Episode 3225, Reward: -36.25, Step: 20732
Episode 3226, Reward: -28.38, Step: 20746
Episode 3227, Reward: -52.27, Step: 20751
Episode 3228, Reward: -34.54, Step: 20755
Episode 3229, Reward: -36.00, Step: 20768
Episode 3230, Reward: -34.19, Step: 20776
Episode 3231, Reward: -37.72, Step: 20781
Episode 3232, Reward: -32.89, Step: 20786
Episode 3233, Reward: -27.69, Step: 20797
Episode 3234, Reward: -31.05, Step: 20809
Episode 3235, Reward: -29.03, Step: 20820
Episode 3236, Reward: -33.31, Step: 20827
Episode 3237, Reward: -26.13, Step: 20837
Episode 3238, Reward: -32.98, Step: 20845
Episode 3239, Reward: -39.55, Step: 20853
Episode 3240, Reward: -30.66, Step: 20873
Episode 3241, Reward: -40.79, Step: 20885
Episode 3242, Reward: -32.16, Step: 20890
Episode 3243, Reward: -33.63, Step: 20895
Episode 3244, Reward: -25.57, Step: 20907
Episode 3245, Reward: -33.00, Step: 20915
Episode 3246, Reward: -33.41, Step: 20921
Episode 3247, Reward: -53.43, Step: 20928
Episode 3248, Reward: -26.62, Step: 20947
Episode 3249, Reward: -53.07, Step: 20954
Episode 3250, Reward: -32.78, Step: 20961
Episode 3251, Reward: -49.73, Step: 20974
Episode 3252, Reward: -31.41, Step: 20981
Episode 3253, Reward: -30.90, Step: 20994
Episode 3254, Reward: -29.05, Step: 21009
Episode 3255, Reward: -33.07, Step: 21015
Episode 3256, Reward: -35.63, Step: 21021
Episode 3257, Reward: -32.26, Step: 21030
Episode 3258, Reward: -31.51, Step: 21037
Episode 3259, Reward: -30.57, Step: 21049
Episode 3260, Reward: -30.95, Step: 21055
Episode 3261, Reward: -34.28, Step: 21061
Episode 3262, Reward: -33.39, Step: 21069
Episode 3263, Reward: -30.81, Step: 21076
Episode 3264, Reward: -27.96, Step: 21084
Episode 3265, Reward: -29.96, Step: 21090
Episode 3266, Reward: -29.56, Step: 21100
Episode 3267, Reward: -32.46, Step: 21107
Episode 3268, Reward: -31.36, Step: 21115
Episode 3269, Reward: -31.43, Step: 21128
Episode 3270, Reward: -22.90, Step: 21142
Episode 3271, Reward: -27.73, Step: 21154
